ESPECIE ARBUSTO,ALTURA,TIPOLOGÍA,UG,BARRIO,,DISTRITO,ELEMENTO,FECHAPLANT,CMARRAS,X,Y
Abelia floribunda,10,Jardinería Asociada a Viario,Z.V. Juan Carvallo,ROCHELAMBERT,,Cerro-Amate,Arbusto,,0,"23,836,389","414,050,543"
Abelia floribunda,10,Jardinería Asociada a Viario,Z.V. Juan Carvallo,ROCHELAMBERT,,Cerro-Amate,Arbusto,,0,"23,836,507","414,050,897"
Abelia floribunda,16,Plaza o Jardín,Z.V. Jardín de la Calle Navas,PALMETE,,Cerro-Amate,Arbusto,,0,"23,966,100","414,036,591"
Abelia floribunda,16,Plaza o Jardín,Z.V. Jardín de la Calle Navas,PALMETE,,Cerro-Amate,Arbusto,,0,"23,961,378","414,036,969"
Abelia floribunda,16,Plaza o Jardín,Z.V. Jardín de la Calle Navas,PALMETE,,Cerro-Amate,Arbusto,,0,"23,961,852","414,036,549"
Abelia floribunda,,Plaza o Jardín,Z.V. Jardín de la Calle Navas,PALMETE,,Cerro-Amate,Arbusto,,0,"23,961,566","414,036,881"
Abelia floribunda,10,Parque Urbano,"URBANIZACIóN P-7 (PINO MONTANO),
PARQUE",BARRIADA PINO MONTANO,,Norte,Arbusto,,0,"23,701,061","414,624,032"
Abelia floribunda,350,Parque Urbano,"URBANIZACIóN P-7 (PINO MONTANO),
PARQUE",BARRIADA PINO MONTANO,,Norte,Arbusto,,0,"23,700,926","414,624,268"
Abelia floribunda,17,Parque o Jardín Histórico,Jardín de las Delicias,EL PRADO-PARQUE MARIA LUISA,,Sur,Arbusto,,0,"23,524,697","414,031,290"
Abelia floribunda,15,Parque o Jardín Histórico,Jardín de las Delicias,EL PRADO-PARQUE MARIA LUISA,,Sur,Arbusto,,0,"23,525,555","414,031,418"
Abelia floribunda,15,Parque o Jardín Histórico,Parque de María Luisa,EL PRADO-PARQUE MARIA LUISA,,Sur,Arbusto,,0,"23,546,118","414,016,412"
Abelia floribunda,20,Parque o Jardín Histórico,Parque de María Luisa,EL PRADO-PARQUE MARIA LUISA,,Sur,Arbusto,,0,"23,553,829","414,019,898"
Abelia floribunda,10,Parque o Jardín Histórico,Jardines de Murillo,SANTA CRUZ,,Casco Antiguo,Arbusto,,0,"23,550,721","414,177,384"
Abelia floribunda,10,Parque o Jardín Histórico,Jardines de la Madrina,SANTA CRUZ,,Casco Antiguo,Arbusto,,0,"23,519,805","414,113,105"
Abelia floribunda,14,Parque o Jardín Histórico,Jardín de las Delicias,EL PRADO-PARQUE MARIA LUISA,,Sur,Arbusto,,0,"23,523,687","414,027,890"
Abelia floribunda,14,Parque o Jardín Histórico,Jardín de las Delicias,EL PRADO-PARQUE MARIA LUISA,,Sur,Arbusto,,0,"23,523,741","414,032,202"
Abelia floribunda,20,Parque o Jardín Histórico,Jardín de las Delicias,EL PRADO-PARQUE MARIA LUISA,,Sur,Arbusto,,0,"23,524,168","414,029,871"
Abelia floribunda,10,Parque o Jardín Histórico,Jardines de la Madrina,SANTA CRUZ,,Casco Antiguo,Arbusto,,0,"23,520,862","414,111,615"
Abelia floribunda,10,Parque o Jardín Histórico,Jardines de Murillo,SANTA CRUZ,,Casco Antiguo,Arbusto,,0,"23,550,496","414,177,369"
Abelia floribunda,15,Parque o Jardín Histórico,Jardines de Murillo,SANTA CRUZ,,Casco Antiguo,Arbusto,,0,"23,549,752","414,175,501"
Abelia floribunda,20,Parque o Jardín Histórico,Jardines de Murillo,SANTA CRUZ,,Casco Antiguo,Arbusto,,0,"23,550,345","414,176,479"
Abelia floribunda,15,Parque o Jardín Histórico,Jardines de Murillo,SANTA CRUZ,,Casco Antiguo,Arbusto,,0,"23,550,649","414,178,512"
Abelia floribunda,10,Parque o Jardín Histórico,Jardines de Murillo,SANTA CRUZ,,Casco Antiguo,Arbusto,,0,"23,550,239","414,180,026"
ESPECIE ARBUSTO,ALTURA,TIPOLOGÍA,UG,BARRIO,,DISTRITO,ELEMENTO,FECHAPLANT,CMARRAS,X,Y
Abelia floribunda,20,Parque o Jardín Histórico,Jardines de Murillo,SANTA CRUZ,,Casco Antiguo,Arbusto,,0,"23,550,337","414,176,684"
Abelia grandiflora,13,Plaza o Jardín,CL IGNACIO GOMEZ MILLAN,TRIANA OESTE,,Triana,Arbusto,,0,"23,367,049","414,172,276"
Abelia grandiflora,13,Plaza o Jardín,CL IGNACIO GOMEZ MILLAN,TRIANA OESTE,,Triana,Arbusto,,0,"23,366,774","414,172,342"
Abelia grandiflora,14,Plaza o Jardín,CL IGNACIO GOMEZ MILLAN,TRIANA OESTE,,Triana,Arbusto,,0,"23,367,068","414,172,608"
Abelia grandiflora,14,Plaza o Jardín,CL IGNACIO GOMEZ MILLAN,TRIANA OESTE,,Triana,Arbusto,,0,"23,367,826","414,172,845"
Abelia grandiflora,14,Plaza o Jardín,CL IGNACIO GOMEZ MILLAN,TRIANA OESTE,,Triana,Arbusto,,0,"23,367,570","414,172,940"
Abelia grandiflora,14,Plaza o Jardín,CL IGNACIO GOMEZ MILLAN,TRIANA OESTE,,Triana,Arbusto,,0,"23,367,864","414,173,167"
Abelia sp,14,Parque Urbano,Z.V. Parque Pirineos Santo Domingo,HUERTA DEL PILAR,,Nervión,Arbusto,,0,"23,661,858","414,166,500"
Abelia sp,13,Parque Urbano,Z.V. Parque Pirineos Santo Domingo,HUERTA DEL PILAR,,Nervión,Arbusto,,0,"23,661,864","414,166,741"
Abelia sp,10,Parque Urbano,Z.V. Parque Pirineos Santo Domingo,HUERTA DEL PILAR,,Nervión,Arbusto,,0,"23,661,638","414,166,663"
Abies pinsapo,25,Plaza o Jardín,Z.V. Alcalde Isacio Contreras,LA FLORIDA,,Nervión,Arbusto,,0,"23,576,624","414,196,163"
"Abutilon
megapotamicum",15,Parque Periurbano,JARDIN AMERICANO,TRIANA OESTE,,Triana,Arbusto,,0,"23,410,591","414,334,585"
"Abutilon
megapotamicum",25,Parque Periurbano,JARDIN AMERICANO,TRIANA OESTE,,Triana,Arbusto,,0,"23,410,040","414,333,963"
"Abutilon
megapotamicum",19,Parque Periurbano,JARDIN AMERICANO,TRIANA OESTE,,Triana,Arbusto,,0,"23,412,380","414,336,265"
"Abutilon
megapotamicum",20,Parque o Jardín Histórico,Parque de María Luisa,EL PRADO-PARQUE MARIA LUISA,,Sur,Arbusto,,0,"23,531,570","414,043,648"
"Abutilon
megapotamicum",20,Parque o Jardín Histórico,Parque de María Luisa,EL PRADO-PARQUE MARIA LUISA,,Sur,Arbusto,,0,"23,531,766","414,043,078"
"Abutilon
megapotamicum",20,Parque o Jardín Histórico,Jardín de las Delicias,EL PRADO-PARQUE MARIA LUISA,,Sur,Arbusto,,0,"23,529,317","414,024,552"
"Abutilon
megapotamicum",30,Parque Urbano,Parque Miraflores I,EL GORDILLO,,Norte,Arbusto,,0,"23,794,325","414,500,394"
"Abutilon
megapotamicum",,,Z.V. Parterres Gran Plaza,NERVION,,Nervión,Arbusto,,0,"23,734,462","414,135,183"
Acacia dealbata,35,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,193,137","414,485,527"
Acacia dealbata,40,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,193,298","414,483,073"
Acacia dealbata,30,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,192,910","414,481,912"
Acacia dealbata,35,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,194,154","414,483,735"
Acacia farnesiana,40,Parque Periurbano,Parque Infanta Elena,"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES",,Este-Alcosa-Torreblanca,Arbusto,,0,"24,011,949","414,304,126"
Acacia karroo,30,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,180,337","414,515,955"
Acacia karroo,30,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,181,287","414,516,403"
Acacia karroo,60,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,182,705","414,514,769"
Acacia karroo,30,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,181,414","414,516,489"
Acacia karroo,35,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,186,364","414,509,666"
Acacia karroo,30,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,187,872","414,506,615"
Acacia saligna,30,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,266,102","414,436,799"
Acacia saligna,30,Parque Urbano,Parque Miraflores I,EL GORDILLO,,Norte,Arbusto,,0,"23,797,952","414,510,531"
Acacia saligna,35,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,162,340","414,488,055"
Acacia saligna,25,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,207,642","414,480,421"
ESPECIE ARBUSTO,ALTURA,TIPOLOGÍA,UG,BARRIO,,DISTRITO,ELEMENTO,FECHAPLANT,CMARRAS,X,Y
Acacia saligna,35,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,189,097","414,482,627"
