,Especie,Parque,Tipologia,Barrio,Distrito,Elemento,X,Y,Porte,origen,importancia_polinizadores,notas,FRUTOs
1,Abelia floribunda,Z.V. Juan Carvallo,Jardinería Asociada a Viario,ROCHELAMBERT,Cerro-Amate,Arbusto,"23,837,019","414,050,307",arbusto,exotica,baja,,
2,Abelia floribunda,Z.V. Juan Carvallo,Jardinería Asociada a Viario,ROCHELAMBERT,Cerro-Amate,Arbusto,"23,837,137","414,050,774",arbusto,exotica,baja,,
3,Abelia floribunda,Z.V. Juan Carvallo,Jardinería Asociada a Viario,ROCHELAMBERT,Cerro-Amate,Arbusto,"23,837,204","414,051,030",arbusto,exotica,baja,,
4,Abelia floribunda,Jardín de las Delicias,Parque o Jardín Histórico,EL PRADO-PARQUE MARIA LUISA,Sur,Arbusto,"23,524,697","414,031,290",arbusto,exotica,baja,,
5,Abelia floribunda,Jardines de Murillo,Parque o Jardín Histórico,SANTA CRUZ,Casco Antiguo,Arbusto,"23,550,649","414,178,512",arbusto,exotica,baja,,
6,Abelia floribunda,Z.V. Juan Carvallo,Jardinería Asociada a Viario,ROCHELAMBERT,Cerro-Amate,Arbusto,"23,836,865","414,049,780",arbusto,exotica,baja,,
7,Abelia floribunda,Z.V. Juan Carvallo,Jardinería Asociada a Viario,ROCHELAMBERT,Cerro-Amate,Arbusto,"23,836,942","414,050,041",arbusto,exotica,baja,,
8,Abelia floribunda,Jardín de las Delicias,Parque o Jardín Histórico,EL PRADO-PARQUE MARIA LUISA,Sur,Arbusto,"23,523,741","414,032,202",arbusto,exotica,baja,,
9,Abelia floribunda,Jardines de Murillo,Parque o Jardín Histórico,SANTA CRUZ,Casco Antiguo,Arbusto,"23,550,239","414,180,026",arbusto,exotica,baja,,
10,Abelia floribunda,Z.V. Juan Carvallo,Jardinería Asociada a Viario,ROCHELAMBERT,Cerro-Amate,Arbusto,"23,837,070","414,050,522",arbusto,exotica,baja,,
11,Abelia floribunda,Parque de María Luisa,Parque o Jardín Histórico,EL PRADO-PARQUE MARIA LUISA,Sur,Arbusto,"23,546,118","414,016,412",arbusto,exotica,baja,,
12,Abelia floribunda,"URBANIZACIóN P-7 (PINO MONTANO), PARQUE",Parque Urbano,BARRIADA PINO MONTANO,Norte,Arbusto,"23,700,926","414,624,268",arbusto,exotica,baja,,
13,Abelia floribunda,"URBANIZACIóN P-7 (PINO MONTANO), PARQUE",Parque Urbano,BARRIADA PINO MONTANO,Norte,Arbusto,"23,701,061","414,624,032",arbusto,exotica,baja,,
14,Abelia floribunda,Jardines de Murillo,Parque o Jardín Histórico,SANTA CRUZ,Casco Antiguo,Arbusto,"23,550,345","414,176,479",arbusto,exotica,baja,,
15,Abelia floribunda,Jardines de Murillo,Parque o Jardín Histórico,SANTA CRUZ,Casco Antiguo,Arbusto,"23,550,496","414,177,369",arbusto,exotica,baja,,
