,Especie,Parque,Tipologia,Barrio,Distrito,Elemento,X,Y,Porte,origen,importancia_polinizadores,notas,FRUTOs
16,Abelia floribunda,Jardín de las Delicias,Parque o Jardín Histórico,EL PRADO-PARQUE MARIA LUISA,Sur,Arbusto,"23,525,555","414,031,418",arbusto,exotica,baja,,
17,Abelia floribunda,Z.V. Juan Carvallo,Jardinería Asociada a Viario,ROCHELAMBERT,Cerro-Amate,Arbusto,"23,836,097","414,049,703",arbusto,exotica,baja,,
18,Abelia floribunda,Z.V. Juan Carvallo,Jardinería Asociada a Viario,ROCHELAMBERT,Cerro-Amate,Arbusto,"23,836,179","414,049,944",arbusto,exotica,baja,,
19,Abelia floribunda,Jardines de Murillo,Parque o Jardín Histórico,SANTA CRUZ,Casco Antiguo,Arbusto,"23,550,337","414,176,684",arbusto,exotica,baja,,
20,Abelia floribunda,Z.V. Juan Carvallo,Jardinería Asociada a Viario,ROCHELAMBERT,Cerro-Amate,Arbusto,"23,836,568","414,050,656",arbusto,exotica,baja,,
21,Abelia floribunda,Jardines de la Madrina,Parque o Jardín Histórico,SANTA CRUZ,Casco Antiguo,Arbusto,"23,519,805","414,113,105",arbusto,exotica,baja,,
22,Abelia floribunda,Jardines de Murillo,Parque o Jardín Histórico,SANTA CRUZ,Casco Antiguo,Arbusto,"23,549,752","414,175,501",arbusto,exotica,baja,,
23,Abelia floribunda,Z.V. Jardín de la Calle Navas,Plaza o Jardín,PALMETE,Cerro-Amate,Arbusto,"23,961,566","414,036,881",arbusto,exotica,baja,,
24,Abelia floribunda,Z.V. Jardín de la Calle Navas,Plaza o Jardín,PALMETE,Cerro-Amate,Arbusto,"23,961,852","414,036,549",arbusto,exotica,baja,,
25,Abelia floribunda,Z.V. Juan Carvallo,Jardinería Asociada a Viario,ROCHELAMBERT,Cerro-Amate,Arbusto,"23,836,789","414,049,528",arbusto,exotica,baja,,
26,Abelia floribunda,Z.V. Juan Carvallo,Jardinería Asociada a Viario,ROCHELAMBERT,Cerro-Amate,Arbusto,"23,836,389","414,050,543",arbusto,exotica,baja,,
27,Abelia floribunda,Parque de María Luisa,Parque o Jardín Histórico,EL PRADO-PARQUE MARIA LUISA,Sur,Arbusto,"23,553,829","414,019,898",arbusto,exotica,baja,,
28,Abelia floribunda,Jardines de Murillo,Parque o Jardín Histórico,SANTA CRUZ,Casco Antiguo,Arbusto,"23,550,721","414,177,384",arbusto,exotica,baja,,
29,Abelia floribunda,Jardines de la Madrina,Parque o Jardín Histórico,SANTA CRUZ,Casco Antiguo,Arbusto,"23,520,862","414,111,615",arbusto,exotica,baja,,
30,Abelia floribunda,Jardín de las Delicias,Parque o Jardín Histórico,EL PRADO-PARQUE MARIA LUISA,Sur,Arbusto,"23,523,687","414,027,890",arbusto,exotica,baja,,
31,Abelia floribunda,Jardín de las Delicias,Parque o Jardín Histórico,EL PRADO-PARQUE MARIA LUISA,Sur,Arbusto,"23,524,168","414,029,871",arbusto,exotica,baja,,
32,Abelia floribunda,Z.V. Jardín de la Calle Navas,Plaza o Jardín,PALMETE,Cerro-Amate,Arbusto,"23,966,100","414,036,591",arbusto,exotica,baja,,
33,Abelia floribunda,Z.V. Juan Carvallo,Jardinería Asociada a Viario,ROCHELAMBERT,Cerro-Amate,Arbusto,"23,836,297","414,050,261",arbusto,exotica,baja,,
34,Abelia floribunda,Z.V. Juan Carvallo,Jardinería Asociada a Viario,ROCHELAMBERT,Cerro-Amate,Arbusto,"23,836,507","414,050,897",arbusto,exotica,baja,,
35,Abelia floribunda,Z.V. Jardín de la Calle Navas,Plaza o Jardín,PALMETE,Cerro-Amate,Arbusto,"23,961,378","414,036,969",arbusto,exotica,baja,,
36,Abelia grandiflora,CL IGNACIO GOMEZ MILLAN,Plaza o Jardín,TRIANA OESTE,Triana,Arbusto,"23,367,570","414,172,940",arbusto,exotica,baja,,
37,Abelia grandiflora,CL IGNACIO GOMEZ MILLAN,Plaza o Jardín,TRIANA OESTE,Triana,Arbusto,"23,367,049","414,172,276",arbusto,exotica,baja,,
38,Abelia grandiflora,CL IGNACIO GOMEZ MILLAN,Plaza o Jardín,TRIANA OESTE,Triana,Arbusto,"23,367,864","414,173,167",arbusto,exotica,baja,,
39,Abelia grandiflora,CL IGNACIO GOMEZ MILLAN,Plaza o Jardín,TRIANA OESTE,Triana,Arbusto,"23,367,826","414,172,845",arbusto,exotica,baja,,
40,Abelia grandiflora,CL IGNACIO GOMEZ MILLAN,Plaza o Jardín,TRIANA OESTE,Triana,Arbusto,"23,366,774","414,172,342",arbusto,exotica,baja,,
41,Abelia grandiflora,CL IGNACIO GOMEZ MILLAN,Plaza o Jardín,TRIANA OESTE,Triana,Arbusto,"23,367,068","414,172,608",arbusto,exotica,baja,,
42,Abelia sp,Z.V. Parque Pirineos Santo Domingo,Parque Urbano,HUERTA DEL PILAR,Nervión,Arbusto,"23,661,858","414,166,500",arbusto,exotica,baja,,
43,Abelia sp,Z.V. Parque Pirineos Santo Domingo,Parque Urbano,HUERTA DEL PILAR,Nervión,Arbusto,"23,661,638","414,166,663",arbusto,exotica,baja,,
44,Abelia sp,Z.V. Parque Pirineos Santo Domingo,Parque Urbano,HUERTA DEL PILAR,Nervión,Arbusto,"23,661,864","414,166,741",arbusto,exotica,baja,,
45,Abies pinsapo,Z.V. Alcalde Isacio Contreras,Plaza o Jardín,LA FLORIDA,Nervión,Arbusto,"23,576,624","414,196,163",arbusto,nativa,nula,,
46,Abutilon megapotamicum,Jardín de las Delicias,Parque o Jardín Histórico,EL PRADO-PARQUE MARIA LUISA,Sur,Arbusto,"23,529,317","414,024,552",arbusto,exotica,baja,,
47,Abutilon megapotamicum,JARDIN AMERICANO,Parque Periurbano,TRIANA OESTE,Triana,Arbusto,"23,410,040","414,333,963",arbusto,exotica,baja,,
48,Abutilon megapotamicum,Parque de María Luisa,Parque o Jardín Histórico,EL PRADO-PARQUE MARIA LUISA,Sur,Arbusto,"23,531,766","414,043,078",arbusto,exotica,baja,,
49,Abutilon megapotamicum,JARDIN AMERICANO,Parque Periurbano,TRIANA OESTE,Triana,Arbusto,"23,410,591","414,334,585",arbusto,exotica,baja,,
50,Abutilon megapotamicum,Parque Miraflores I,Parque Urbano,EL GORDILLO,Norte,Arbusto,"23,794,325","414,500,394",arbusto,exotica,baja,,
51,Abutilon megapotamicum,Z.V. Parterres Gran Plaza,,NERVION,Nervión,Arbusto,"23,734,462","414,135,183",arbusto,exotica,baja,,
52,Abutilon megapotamicum,JARDIN AMERICANO,Parque Periurbano,TRIANA OESTE,Triana,Arbusto,"23,412,380","414,336,265",arbusto,exotica,baja,,
53,Abutilon megapotamicum,Parque de María Luisa,Parque o Jardín Histórico,EL PRADO-PARQUE MARIA LUISA,Sur,Arbusto,"23,531,570","414,043,648",arbusto,exotica,baja,,
54,Acacia dealbata,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,136,775","414,488,673",arbol,exotica,baja,,
55,Acacia dealbata,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,256,275","414,439,251",arbol,exotica,baja,,
56,Acacia dealbata,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,193,137","414,485,527",arbusto,exotica,baja,,
57,Acacia dealbata,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,189,826","414,480,444",arbol,exotica,baja,,
58,Acacia dealbata,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,191,200","414,486,325",arbol,exotica,baja,,
59,Acacia dealbata,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,117,564","414,486,449",arbol,exotica,baja,,
60,Acacia dealbata,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,192,910","414,481,912",arbusto,exotica,baja,,
61,Acacia dealbata,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,241,423","414,451,212",arbol,exotica,baja,,
62,Acacia dealbata,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,192,981","414,482,311",arbol,exotica,baja,,
63,Acacia dealbata,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,193,298","414,483,073",arbusto,exotica,baja,,
64,Acacia dealbata,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,194,154","414,483,735",arbusto,exotica,baja,,
65,Acacia dealbata,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,237,197","414,456,339",arbol,exotica,baja,,
66,Acacia farnesiana,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS-URBADIEZ- ENTREPUENTES,Este-Alcosa-Torreblanca,Arbusto,"24,011,949","414,304,126",arbusto,exotica,baja,,
67,Acacia karroo,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,187,533","414,507,331",arbol,exotica,baja,,
68,Acacia karroo,Parque de los Bermejales,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,Árbol Zona Verde,"23,530,773","413,740,801",arbol,exotica,baja,,
69,Acacia karroo,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,187,731","414,506,926",arbol,exotica,baja,,
70,Acacia karroo,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,180,337","414,515,955",arbusto,exotica,baja,,
71,Acacia karroo,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,188,161","414,505,929",arbol,exotica,baja,,
72,Acacia karroo,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,181,414","414,516,489",arbusto,exotica,baja,,
73,Acacia karroo,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,190,417","414,503,848",arbol,exotica,baja,,
74,Acacia karroo,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,187,989","414,506,359",arbol,exotica,baja,,
75,Acacia karroo,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,181,287","414,516,403",arbusto,exotica,baja,,
76,Acacia karroo,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,188,265","414,505,696",arbol,exotica,baja,,
77,Acacia karroo,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,187,872","414,506,615",arbusto,exotica,baja,,
78,Acacia karroo,Parque de los Bermejales,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,Árbol Zona Verde,"23,545,699","413,758,988",arbol,exotica,baja,,
79,Acacia karroo,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,187,379","414,507,597",arbol,exotica,baja,,
80,Acacia karroo,Parque de los Bermejales,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,Árbol Zona Verde,"23,531,308","413,741,675",arbol,exotica,baja,,
81,Acacia karroo,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,186,364","414,509,666",arbusto,exotica,baja,,
82,Acacia karroo,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,182,705","414,514,769",arbusto,exotica,baja,,
83,Acacia karroo,Parque de los Bermejales,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,Árbol Zona Verde,"23,553,210","413,757,259",arbol,exotica,baja,,
84,Acacia karroo,Parque de los Bermejales,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,Árbol Zona Verde,"23,533,800","413,738,413",arbol,exotica,baja,,
85,Acacia karroo,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,188,093","414,506,126",arbol,exotica,baja,,
86,Acacia karroo,Parque de los Bermejales,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,Árbol Zona Verde,"23,559,261","413,739,361",arbol,exotica,baja,,
87,Acacia retinoides,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,258,097","414,438,062",arbol,exotica,baja,,
88,Acacia retinoides,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,177,645","414,495,041",arbol,exotica,baja,,
89,Acacia retinoides,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,247,901","414,444,843",arbol,exotica,baja,,
90,Acacia retinoides,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,200,955","414,477,442",arbol,exotica,baja,,
91,Acacia retinoides,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,242,046","414,449,654",arbol,exotica,baja,,
92,Acacia retinoides,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,119,009","414,485,264",arbol,exotica,baja,,
93,Acacia retinoides,Parque de los Bermejales,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,Árbol Zona Verde,"23,532,886","413,738,752",arbol,exotica,baja,,
94,Acacia retinoides,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,177,932","414,494,869",arbol,exotica,baja,,
95,Acacia retinoides,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,172,438","414,479,816",arbol,exotica,baja,,
96,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,173,686","414,481,817",arbol,exotica,baja,,
97,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,271,594","414,434,474",arbol,exotica,baja,,
98,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,271,284","414,435,099",arbol,exotica,baja,,
99,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,247,658","414,443,835",arbol,exotica,baja,,
100,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,206,372","414,502,538",arbusto,exotica,baja,,
101,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,169,542","414,486,216",arbusto,exotica,baja,,
102,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,210,960","414,500,972",arbusto,exotica,baja,,
103,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,207,581","414,480,223",arbusto,exotica,baja,,
104,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,271,330","414,435,002",arbol,exotica,baja,,
105,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,127,618","414,491,412",arbusto,exotica,baja,,
106,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,268,232","414,435,695",arbol,exotica,baja,,
107,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,216,034","414,499,905",arbol,exotica,baja,,
108,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,274,137","414,432,471",arbol,exotica,baja,,
109,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,230,264","414,472,917",arbol,exotica,baja,,
110,Acacia saligna,Parque Miraflores I,Parque Urbano,EL GORDILLO,Norte,Arbusto,"23,797,952","414,510,531",arbusto,exotica,baja,,
111,Acacia saligna,Parque Guadaira I,Parque Periurbano,POLIGONO SUR,Sur,Arbusto,"23,856,198","413,882,132",arbusto,exotica,baja,,
112,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,162,340","414,488,055",arbusto,exotica,baja,,
113,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,264,180","414,435,799",arbol,exotica,baja,,
114,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,207,434","414,480,447",arbusto,exotica,baja,,
115,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,174,164","414,487,247",arbusto,exotica,baja,,
116,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,189,097","414,482,627",arbusto,exotica,baja,,
117,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,150,477","414,495,730",arbusto,exotica,baja,,
118,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,266,102","414,436,799",arbusto,exotica,baja,,
119,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,160,584","414,484,334",arbol,exotica,baja,,
120,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,169,048","414,486,269",arbusto,exotica,baja,,
121,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,271,944","414,434,581",arbol,exotica,baja,,
122,Acacia saligna,Parque Guadaira I,Parque Periurbano,POLIGONO SUR,Sur,Arbusto,"23,900,814","413,936,588",arbusto,exotica,baja,,
123,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,160,617","414,483,674",arbol,exotica,baja,,
124,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,271,812","414,435,033",arbol,exotica,baja,,
125,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,270,494","414,434,748",arbol,exotica,baja,,
126,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,271,975","414,434,677",arbol,exotica,baja,,
127,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,162,099","414,487,639",arbusto,exotica,baja,,
128,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,262,517","414,437,392",arbol,exotica,baja,,
129,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,162,252","414,487,864",arbusto,exotica,baja,,
130,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,207,642","414,480,421",arbusto,exotica,baja,,
131,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,173,842","414,487,826",arbusto,exotica,baja,,
132,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,162,186","414,487,740",arbusto,exotica,baja,,
133,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,115,246","414,497,441",arbusto,exotica,baja,,
134,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,271,833","414,434,667",arbol,exotica,baja,,
135,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,247,588","414,445,497",arbol,exotica,baja,,
136,Acacia saligna,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,229,585","414,473,839",arbol,exotica,baja,,
137,Acacia sp,Parque de los Bermejales,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,Árbol Zona Verde,"23,529,951","413,741,218",arbol,exotica,baja,,
138,Acacia sp,PARQUE BORDAS CHINCHURRETA,Parque Urbano,EL FONTANAL- MARIA AUXILIADORA- CARRETERA DE CARMONA,San Pablo-Santa Justa,Árbol Zona Verde,"23,661,227","414,344,365",arbol,exotica,baja,,
139,Acacia sp,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,174,921","414,479,457",arbol,exotica,baja,,
140,Acacia sp,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,161,242","414,482,125",arbol,exotica,baja,,
141,Acacia sp,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,171,436","414,480,197",arbol,exotica,baja,,
142,Acacia sp,PARQUE BORDAS CHINCHURRETA,Parque Urbano,EL FONTANAL- MARIA AUXILIADORA- CARRETERA DE CARMONA,San Pablo-Santa Justa,Árbol Zona Verde,"23,660,253","414,343,762",arbol,exotica,baja,,
143,Acacia sp,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,163,817","414,481,152",arbol,exotica,baja,,
144,Acacia sp,Avenida Expo 92,Medianas y Glorietas,TRIANA OESTE,Triana,Arbusto,"23,318,311","414,231,811",arbusto,exotica,baja,,
145,Acacia sp,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,173,823","414,480,054",arbol,exotica,baja,,
146,Acanthus mollis,Z.V. Parque de la Buhaira,Parque o Jardín Histórico,LA BUHAIRA,Nervión,Arbusto,"23,615,547","414,149,253",arbusto,nativa,media,,
147,Acanthus mollis,Z.V. Parque de la Buhaira,Parque o Jardín Histórico,LA BUHAIRA,Nervión,Arbusto,"23,615,580","414,149,548",arbusto,nativa,media,,
