UG,ESPECIE ARBOLES ZONAS VERDES,ALTURA TOTAL,TIPOLOGÍA,BARRIO,DISTRITO,,ELEMENTO,FECHAPLANT,MARRAS,X,Y
Parque San Jerónimo I y II,Eucalyptus sp,90,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,493,999","414,632,011"
Parque San Jerónimo I y II,Eucalyptus sp,150,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,491,170","414,635,509"
Parque San Jerónimo I y II,Eucalyptus sp,180,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,489,945","414,632,313"
Parque San Jerónimo I y II,Eucalyptus sp,100,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,491,397","414,635,655"
Parque San Jerónimo I y II,Eucalyptus sp,80,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,491,184","414,635,694"
Parque San Jerónimo I y II,Eucalyptus sp,60,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,493,786","414,632,043"
Parque San Jerónimo I y II,Eucalyptus sp,200,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,490,420","414,632,398"
Parque San Jerónimo I y II,Eucalyptus sp,150,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,490,374","414,632,977"
Parque San Jerónimo I y II,Eucalyptus sp,120,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,493,898","414,631,938"
Parque San Jerónimo I y II,Eucalyptus sp,70,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,494,680","414,628,194"
Parque San Jerónimo I y II,Eucalyptus sp,120,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,493,941","414,628,518"
Parque San Jerónimo I y II,Eucalyptus sp,70,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,493,694","414,631,757"
UG,ESPECIE ARBOLES ZONAS VERDES,ALTURA TOTAL,TIPOLOGÍA,BARRIO,DISTRITO,,ELEMENTO,FECHAPLANT,MARRAS,X,Y
Parque San Jerónimo I y II,Eucalyptus sp,75,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,493,824","414,631,809"
Parque San Jerónimo I y II,Eucalyptus sp,80,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,493,540","414,631,845"
Parque San Jerónimo I y II,Fraxinus angustifolia,40,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,489,765","414,635,720"
Parque San Jerónimo I y II,Eucalyptus sp,70,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,488,738","414,632,915"
Parque San Jerónimo I y II,Eucalyptus sp,,Parque Periurbano,,Triana,,Árbol Zona Verde,,Tocón,"23,487,737","414,633,533"
Parque San Jerónimo I y II,Eucalyptus sp,90,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,493,992","414,631,756"
Parque San Jerónimo I y II,Eucalyptus sp,190,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,488,322","414,633,211"
Parque San Jerónimo I y II,Eucalyptus sp,100,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,493,690","414,631,954"
Parque San Jerónimo I y II,Eucalyptus sp,90,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,494,045","414,631,399"
Parque San Jerónimo I y II,Eucalyptus sp,60,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,491,087","414,632,379"
Parque San Jerónimo I y II,Eucalyptus sp,65,Parque Periurbano,,Triana,,Árbol Zona Verde,,Árbol muerto,"23,493,587","414,631,626"
Parque San Jerónimo I y II,Eucalyptus sp,30,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,494,412","414,629,478"
Parque San Jerónimo I y II,Eucalyptus sp,110,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,493,908","414,631,573"
Parque San Jerónimo I y II,Eucalyptus sp,300,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,487,536","414,633,623"
Parque San Jerónimo I y II,Eucalyptus sp,140,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,490,717","414,635,542"
Parque San Jerónimo I y II,Eucalyptus sp,45,Parque Periurbano,,Triana,,Árbol Zona Verde,,Árbol muerto,"23,494,568","414,628,780"
Parque San Jerónimo I y II,Eucalyptus sp,200,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,491,222","414,632,070"
Parque San Jerónimo I y II,Eucalyptus sp,100,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,490,534","414,632,857"
Parque San Jerónimo I y II,Eucalyptus sp,45,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,493,944","414,631,262"
Parque San Jerónimo I y II,Eucalyptus sp,70,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,490,982","414,631,904"
Parque San Jerónimo I y II,Eucalyptus sp,200,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,491,173","414,638,690"
Parque San Jerónimo I y II,Eucalyptus sp,130,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,491,907","414,636,347"
Parque San Jerónimo I y II,Eucalyptus sp,60,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,493,714","414,631,534"
