UG,ESPECIE ARBOLES ZONAS VERDES,ALTURA TOTAL,TIPOLOGÍA,BARRIO,DISTRITO,,ELEMENTO,FECHAPLANT,MARRAS,X,Y
CL PLAZA NUEVA,Platanus hispanica,170,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,477,920","414,222,147"
CL PLAZA NUEVA,Citrus aurantium,30,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,482,094","414,218,909"
CL PLAZA NUEVA,Citrus aurantium,30,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,478,198","414,218,688"
CL PLAZA NUEVA,Platanus hispanica,150,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,482,546","414,222,460"
CL PLAZA NUEVA,Platanus hispanica,80,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,473,909","414,217,612"
CL PLAZA NUEVA,Lagerstroemia indica,50,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,480,598","414,221,746"
CL PLAZA NUEVA,Citrus aurantium,30,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,482,160","414,218,041"
CL PLAZA NUEVA,Platanus hispanica,90,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,474,867","414,218,823"
Jardines de Cristina,Casuarina equisetifolia,180,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,486,411","414,132,300"
CL PLAZA NUEVA,Platanus hispanica,80,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,484,282","414,220,900"
CL PLAZA NUEVA,Platanus hispanica,150,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,478,235","414,216,809"
"Delicias, Paseo",Brachychiton populneus,70,Arbolado Viario,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,484,602","414,133,699"
CL PLAZA NUEVA,Platanus hispanica,150,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,484,925","414,220,906"
Jardines de Cristina,Casuarina equisetifolia,190,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,486,607","414,138,569"
CL PLAZA NUEVA,Platanus hispanica,100,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,475,776","414,223,083"
CL PLAZA NUEVA,Platanus hispanica,100,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,478,167","414,223,230"
Jardines de Cristina,Casuarina equisetifolia,190,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,487,084","414,137,763"
CL PLAZA NUEVA,Platanus hispanica,110,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,485,655","414,218,326"
CL PLAZA NUEVA,Platanus hispanica,80,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,485,030","414,218,380"
CL PLAZA NUEVA,Platanus hispanica,110,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,475,697","414,222,013"
CL PLAZA NUEVA,Citrus aurantium,40,Plaza o Jardín,ALFALFA,Casco Antiguo,,Árbol Zona Verde,,,"23,486,741","414,219,536"
CL PLAZA NUEVA,Citrus aurantium,40,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,482,620","414,215,540"
UG,ESPECIE ARBOLES ZONAS VERDES,ALTURA TOTAL,TIPOLOGÍA,BARRIO,DISTRITO,,ELEMENTO,FECHAPLANT,MARRAS,X,Y
CL PLAZA NUEVA,Citrus aurantium,30,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,479,879","414,218,778"
CL PLAZA NUEVA,Platanus hispanica,130,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,482,051","414,222,402"
"Delicias, Paseo",Platanus hispanica,100,Arbolado Viario,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,486,604","414,129,577"
CL PLAZA NUEVA,Citrus aurantium,30,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,477,629","414,218,652"
CL PLAZA NUEVA,Platanus hispanica,150,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,479,812","414,222,298"
CL PLAZA NUEVA,Platanus hispanica,140,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,485,026","414,218,935"
Jardines de Cristina,Chorisia speciosa,100,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,484,734","414,135,528"
CL PLAZA NUEVA,Platanus hispanica,80,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,484,236","414,221,389"
CL PLAZA NUEVA,Citrus aurantium,40,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,472,406","414,222,023"
Jardines de Cristina,Platanus hispanica,150,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,488,880","414,135,268"
CL PLAZA NUEVA,Platanus hispanica,150,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,481,466","414,222,985"
CL PLAZA NUEVA,Citrus aurantium,40,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,472,769","414,216,276"
Jardines de Cristina,Chorisia speciosa,70,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,484,455","414,135,046"
CL PLAZA NUEVA,Citrus aurantium,20,Plaza o Jardín,ALFALFA,Casco Antiguo,,Árbol Zona Verde,,,"23,486,625","414,221,085"
"Delicias, Paseo",Casuarina equisetifolia,160,Arbolado Viario,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,484,306","414,134,038"
CL PLAZA NUEVA,Citrus aurantium,40,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,478,846","414,215,319"
CL PLAZA NUEVA,Platanus hispanica,70,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,478,773","414,223,268"
CL PLAZA NUEVA,Platanus hispanica,115,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,479,369","414,223,310"
Jardines de Cristina,Casuarina equisetifolia,180,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,486,695","414,136,624"
Jardines de Cristina,Tocón Tocón,,,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,486,401","414,140,510"
CL PLAZA NUEVA,Citrus aurantium,30,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,480,965","414,218,852"
CL PLAZA NUEVA,Lagerstroemia indica,50,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,477,783","414,217,403"
CL PLAZA NUEVA,Platanus hispanica,140,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,484,324","414,223,608"
CL PLAZA NUEVA,Platanus hispanica,150,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,484,811","414,222,003"
Jardines de Cristina,Cercis siliquastrum,70,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,488,434","414,133,420"
CL PLAZA NUEVA,Lagerstroemia indica,50,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,478,591","414,221,625"
CL PLAZA NUEVA,Platanus hispanica,180,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,480,370","414,222,314"
CL PLAZA NUEVA,Citrus aurantium,40,Plaza o Jardín,ALFALFA,Casco Antiguo,,Árbol Zona Verde,,,"23,486,831","414,217,943"
CL PLAZA NUEVA,Platanus hispanica,70,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,473,782","414,219,692"
Jardines de Cristina,Platanus hispanica,180,,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,489,543","414,131,577"
UG,ESPECIE ARBOLES ZONAS VERDES,ALTURA TOTAL,TIPOLOGÍA,BARRIO,DISTRITO,,ELEMENTO,FECHAPLANT,MARRAS,X,Y
CL PLAZA NUEVA,Citrus aurantium,40,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,482,005","414,220,568"
Jardines de Cristina,Cercis siliquastrum,45,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,485,883","414,140,042"
"Delicias, Paseo",Platanus hispanica,70,Arbolado Viario,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,485,571","414,131,435"
CL PLAZA NUEVA,Citrus aurantium,40,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,478,652","414,220,373"
CL PLAZA NUEVA,Platanus hispanica,100,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,480,617","414,223,381"
CL PLAZA NUEVA,Lagerstroemia indica,40,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,480,866","414,217,589"
CL PLAZA NUEVA,Lagerstroemia indica,60,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,477,388","414,221,552"
"Delicias, Paseo",Marra o Alcorque vacío,,Arbolado Viario,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,anular( NO PLANTAR),"23,486,927","414,128,947"
"Delicias, Paseo",Marra o Alcorque vacío,,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,vacío/Posición a reponer,"23,486,016","414,131,893"
CL PLAZA NUEVA,Platanus hispanica,90,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,474,817","414,219,762"
Jardines de Cristina,Jacaranda mimosifolia,90,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,487,202","414,130,213"
Jardines de Cristina,Casuarina equisetifolia,160,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,484,356","414,135,912"
CL PLAZA NUEVA,Platanus hispanica,120,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,485,437","414,221,616"
CL PLAZA NUEVA,Platanus hispanica,110,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,476,369","414,223,112"
Jardines de Cristina,Chorisia speciosa,50,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,485,359","414,133,347"
Jardines de Cristina,Brachychiton populneus,130,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,491,760","414,140,976"
CL PLAZA NUEVA,Platanus hispanica,90,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,473,634","414,222,093"
CL PLAZA NUEVA,Platanus hispanica,90,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,478,399","414,222,146"
CL PLAZA NUEVA,Citrus aurantium,40,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,483,202","414,215,587"
CL PLAZA NUEVA,Platanus hispanica,100,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,481,228","414,223,423"
CL PLAZA NUEVA,Lagerstroemia indica,50,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,475,742","414,218,519"
CL PLAZA NUEVA,Platanus hispanica,120,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,485,577","414,219,524"
"Delicias, Paseo",Casuarina equisetifolia,120,Arbolado Viario,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,486,620","414,130,581"
CL PLAZA NUEVA,Platanus hispanica,150,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,484,401","414,218,832"
Jardines de Cristina,Casuarina equisetifolia,180,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,485,979","414,132,442"
CL PLAZA NUEVA,Platanus hispanica,115,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,474,894","414,218,248"
CL PLAZA NUEVA,Lagerstroemia indica,50,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,481,724","414,221,785"
CL PLAZA NUEVA,Citrus aurantium,40,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,474,659","414,215,065"
CL PLAZA NUEVA,Citrus aurantium,35,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,481,399","414,221,409"
CL PLAZA NUEVA,Platanus hispanica,110,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,476,974","414,223,154"
UG,ESPECIE ARBOLES ZONAS VERDES,ALTURA TOTAL,TIPOLOGÍA,BARRIO,DISTRITO,,ELEMENTO,FECHAPLANT,MARRAS,X,Y
CL PLAZA NUEVA,Platanus hispanica,150,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,483,430","414,217,156"
CL PLAZA NUEVA,Platanus hispanica,110,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,485,360","414,222,821"
CL PLAZA NUEVA,Platanus hispanica,130,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,484,354","414,219,372"
CL PLAZA NUEVA,Citrus aurantium,30,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,482,711","414,218,043"
Jardines de Cristina,Cupressus sp,180,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,493,036","414,142,531"
CL PLAZA NUEVA,Citrus aurantium,50,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,476,462","414,215,168"
CL PLAZA NUEVA,Citrus aurantium,40,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,472,480","414,220,846"
Jardines de Cristina,Firmiana simplex,110,,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,488,996","414,131,337"
CL PLAZA NUEVA,Citrus aurantium,40,Plaza o Jardín,ALFALFA,Casco Antiguo,,Árbol Zona Verde,,,"23,486,776","414,218,982"
Jardines de Cristina,Jacaranda mimosifolia,120,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,485,662","414,138,041"
Jardines de Cristina,Firmiana simplex,160,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,488,176","414,131,626"
CL PLAZA NUEVA,Platanus hispanica,130,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,479,348","414,216,882"
CL PLAZA NUEVA,Citrus aurantium,35,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,478,810","414,217,854"
Jardines de Cristina,Casuarina equisetifolia,160,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,488,291","414,137,776"
CL PLAZA NUEVA,Citrus aurantium,30,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,478,029","414,221,211"
CL PLAZA NUEVA,Citrus aurantium,40,Plaza o Jardín,ALFALFA,Casco Antiguo,,Árbol Zona Verde,,,"23,486,486","414,223,136"
CL PLAZA NUEVA,Platanus hispanica,100,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,473,677","414,221,487"
CL PLAZA NUEVA,Platanus hispanica,90,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,473,705","414,220,901"
Jardines de Cristina,Brachychiton populneus,130,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,492,686","414,140,853"
CL PLAZA NUEVA,Citrus aurantium,20,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,477,152","414,217,716"
CL PLAZA NUEVA,Platanus hispanica,80,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,484,439","414,218,297"
CL PLAZA NUEVA,Platanus hispanica,180,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,480,870","414,222,328"
Jardines de Cristina,Chorisia speciosa,90,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,484,485","414,135,348"
Jardines de Cristina,Citrus aurantium,60,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,489,009","414,130,553"
Jardines de Cristina,Brachychiton populneus,140,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,488,817","414,129,697"
CL PLAZA NUEVA,Citrus aurantium,40,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,482,517","414,221,474"
CL PLAZA NUEVA,Platanus hispanica,80,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,474,712","414,220,968"
Jardines de Cristina,Tocón Tocón,,,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,Tocón,"23,489,622","414,141,584"
CL PLAZA NUEVA,Platanus hispanica,200,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,482,513","414,223,071"
CL PLAZA NUEVA,Citrus aurantium,40,Plaza o Jardín,ALFALFA,Casco Antiguo,,Árbol Zona Verde,,,"23,486,865","414,217,449"
UG,ESPECIE ARBOLES ZONAS VERDES,ALTURA TOTAL,TIPOLOGÍA,BARRIO,DISTRITO,,ELEMENTO,FECHAPLANT,MARRAS,X,Y
CL PLAZA NUEVA,Citrus aurantium,35,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,481,963","414,221,416"
Jardines de Cristina,Jacaranda mimosifolia,140,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,485,451","414,137,297"
CL PLAZA NUEVA,Citrus aurantium,40,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,479,816","414,220,419"
CL PLAZA NUEVA,Citrus aurantium,30,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,481,044","414,217,973"
Jardines de Cristina,Jacaranda mimosifolia,140,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,485,303","414,138,861"
Jardines de Cristina,Cercis siliquastrum,40,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,489,390","414,140,957"
Jardines de Cristina,Phytolacca dioica,140,,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,492,582","414,141,109"
CL PLAZA NUEVA,Citrus aurantium,25,Plaza o Jardín,ALFALFA,Casco Antiguo,,Árbol Zona Verde,,,"23,486,785","414,218,454"
CL PLAZA NUEVA,Lagerstroemia indica,45,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,481,930","414,217,653"
CL PLAZA NUEVA,Citrus aurantium,30,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,480,433","414,218,839"
Jardines de Cristina,Casuarina equisetifolia,160,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,489,016","414,130,089"
Jardines de Cristina,Lagunaria patersonii,140,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,484,618","414,137,959"
CL PLAZA NUEVA,Citrus aurantium,40,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,481,433","414,215,444"
CL PLAZA NUEVA,Platanus hispanica,120,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,485,518","414,220,452"
"Delicias, Paseo",Platanus hispanica,90,Arbolado Viario,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,486,251","414,130,195"
Jardines de Cristina,Casuarina equisetifolia,180,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,487,324","414,134,979"
CL PLAZA NUEVA,Platanus hispanica,120,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,474,767","414,220,301"
CL PLAZA NUEVA,Citrus aurantium,40,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,484,424","414,215,661"
CL PLAZA NUEVA,Platanus hispanica,150,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,479,002","414,222,860"
"Delicias, Paseo",Platanus hispanica,90,Arbolado Viario,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,484,913","414,132,634"
CL PLAZA NUEVA,Citrus aurantium,40,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,472,649","414,218,178"
CL PLAZA NUEVA,Platanus hispanica,130,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,479,017","414,222,191"
CL PLAZA NUEVA,Citrus aurantium,40,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,480,842","414,221,378"
CL PLAZA NUEVA,Platanus hispanica,90,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,481,227","414,216,987"
CL PLAZA NUEVA,Platanus hispanica,100,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,481,839","414,223,460"
CL PLAZA NUEVA,Citrus aurantium,30,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,481,558","414,218,910"
CL PLAZA NUEVA,Citrus aurantium,25,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,478,259","414,217,816"
CL PLAZA NUEVA,Lagerstroemia indica,55,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,475,638","414,220,258"
CL PLAZA NUEVA,Platanus hispanica,130,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,480,667","414,216,971"
Jardines de Cristina,Brachychiton populneus,90,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,490,303","414,133,344"
UG,ESPECIE ARBOLES ZONAS VERDES,ALTURA TOTAL,TIPOLOGÍA,BARRIO,DISTRITO,,ELEMENTO,FECHAPLANT,MARRAS,X,Y
Jardines de Cristina,Casuarina equisetifolia,180,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,490,340","414,141,180"
CL PLAZA NUEVA,Citrus aurantium,35,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,479,313","414,218,725"
CL PLAZA NUEVA,Platanus hispanica,120,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,476,126","414,216,693"
Jardines de Cristina,Jacaranda mimosifolia,140,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,491,881","414,143,251"
Jardines de Cristina,Magnolia grandiflora,60,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,486,220","414,135,876"
CL PLAZA NUEVA,Platanus hispanica,120,Plaza o Jardín,ARENAL,Casco Antiguo,,Árbol Zona Verde,,,"23,483,614","414,223,565"
Jardines de Cristina,Platanus hispanica,190,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,,Árbol Zona Verde,,,"23,490,572","414,135,292"
Parque de los Bermejales,Quercus ilex,55,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,,Árbol Zona Verde,,,"23,555,247","413,732,607"
Parque de los Bermejales,Casuarina equisetifolia,85,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,,Árbol Zona Verde,,,"23,555,014","413,733,140"
Parque de los Bermejales,Casuarina equisetifolia,80,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,,Árbol Zona Verde,,,"23,554,439","413,732,538"
Parque de los Bermejales,Olea europaea,50,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,,Árbol Zona Verde,,,"23,555,192","413,736,506"
Parque de los Bermejales,Olea europaea,50,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,,Árbol Zona Verde,,,"23,557,258","413,734,508"
Parque de los Bermejales,Ceratonia siliqua,35,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,,Árbol Zona Verde,,,"23,556,300","413,733,209"
Parque de los Bermejales,Olea europaea,65,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,,Árbol Zona Verde,,,"23,558,298","413,733,469"
Parque de los Bermejales,Olea europaea,35,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,,Árbol Zona Verde,,,"23,556,177","413,735,028"
Parque de los Bermejales,Olea europaea,60,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,,Árbol Zona Verde,,,"23,558,380","413,734,057"
Parque de los Bermejales,Olea europaea,65,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,,Árbol Zona Verde,,,"23,556,492","413,733,879"
Parque de los Bermejales,Pinus pinea,65,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,,Árbol Zona Verde,,,"23,553,224","413,744,888"
Parque de los Bermejales,Pinus pinea,60,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,,Árbol Zona Verde,,,"23,554,257","413,745,483"
Parque de los Bermejales,Olea europaea,55,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,,Árbol Zona Verde,,,"23,552,859","413,743,272"
Parque de los Bermejales,Olea europaea,65,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,,Árbol Zona Verde,,,"23,555,387","413,744,329"
Parque de los Bermejales,Olea europaea,65,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,,Árbol Zona Verde,,,"23,551,911","413,743,260"
Parque de los Bermejales,Pinus pinea,70,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,,Árbol Zona Verde,,,"23,553,357","413,744,353"
Parque de los Bermejales,Pinus pinea,70,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,,Árbol Zona Verde,,,"23,554,086","413,744,900"
Parque de los Bermejales,Olea europaea,60,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,,Árbol Zona Verde,,,"23,554,803","413,744,135"
Parque de los Bermejales,Olea europaea,65,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,,Árbol Zona Verde,,,"23,554,755","413,744,876"
Parque de los Bermejales,Olea europaea,55,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,,Árbol Zona Verde,,,"23,550,842","413,743,916"
Parque de los Bermejales,Pinus pinea,75,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,,Árbol Zona Verde,,,"23,552,616","413,744,827"
Parque de los Bermejales,Olea europaea,65,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,,Árbol Zona Verde,,,"23,551,109","413,743,235"
Parque de los Bermejales,Olea europaea,55,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,,Árbol Zona Verde,,,"23,551,474","413,743,649"
