"","Especie","Porte","Origen","Importancia_polinizadores","Principal_grupo","Importancia_frugivoros","."
"427","Vitis vinifera","arbusto","exotica","nula","varios","alta",4
"428","Washingtonia robusta","arbol","exotica","nula","varios","nula",1
"429","Washingtonia sp","arbusto","exotica","nula","varios","nula",1
"430","Wigandia caracasana","arbusto","exotica","media","varios","nula",3
"431","Wisteria floribunda","arbusto","exotica","media","varios","nula",3
"432","Wisteria sinensis","arbusto","exotica","media","varios","nula",178
"433","Yucca aloifolia","arbusto","exotica","baja","varios","nula",20
"434","Yucca elephantipes","arbusto","exotica","baja","varios","nula",189
"435","Yucca gloriosa","arbusto","exotica","baja","varios","nula",25
"436","Yucca sp","arbusto","exotica","baja","varios","nula",29
"437","Zantedeschia aethiopica","arbusto","exotica","baja","varios","nula",2
"438","Ziziphus sp","arbusto","exotica","baja","varios","nula",1
