"","Especie","Porte","Origen","Importancia_polinizadores","Principal_grupo","Importancia_frugivoros","."
"127","Cydonia oblonga","arbusto","exotica","media","varios","nula",12
"128","Cyperus alternifolius","arbusto","exotica","nula","varios","nula",2
"129","Cyperus papirus","arbusto","exotica","nula","varios","nula",4
"130","Cytisus scoparius","arbusto","nativa","media","varios","nula",37
"131","Daphne mezereum","arbusto","nativa","media","varios","nula",2
"132","Dasylirion serratifolium","arbusto","exotica","nula","varios","nula",6
"133","Datura arborea","arbusto","exotica","baja","varios","nula",22
"134","Dictitis bucinatoria","arbusto","exotica","baja","varios","nula",7
"135","Dimorphoteca sp","arbusto","exotica","media","varios","nula",3
"136","Dioon edule","arbusto","exotica","nula","varios","nula",2
"137","Dodonaea viscosa","arbusto","exotica","baja","varios","nula",33
"138","Dombeya cayeuxii","arbusto","exotica","baja","varios","nula",40
"139","Dombeya tiliacea","arbusto","exotica","baja","varios","nula",2
"140","Dracaena draco","arbusto","exotica","nula","varios","nula",46
"141","Dracaena marginata","arbusto","exotica","nula","varios","nula",4
"142","Dracaena sp","arbusto","exotica","nula","varios","nula",11
"143","Duranta erecta","arbusto","exotica","baja","varios","nula",3
"144","Duranta repens","arbusto","exotica","baja","varios","nula",171
"145","Elaeagnus angustifolia","arbol","exotica","media","varios","nula",19
"146","Elaeagnus pugens","arbusto","exotica","media","varios","nula",33
"147","Elaeagnus sp","arbusto","exotica","media","varios","nula",5
"148","Elaeagnus x ebbingei","arbusto","exotica","media","varios","nula",2
"149","Erica carnea","arbusto","nativa","media","varios","nula",2
"150","Eriobotrya quadrangularis","arbusto","exotica","media","varios","nula",1
"151","Erythrina caffra","arbusto","exotica","baja","varios","nula",7
"152","Erythrina crista-galli","arbol","exotica","baja","varios","nula",2
"153","Eucalyptus camaldulensis","arbol","exotica","baja","varios","nula",418
"154","Eucalyptus globulus","arbol","exotica","baja","varios","nula",1
"155","Eucalyptus gomphocephala","arbol","exotica","baja","varios","nula",17
"156","Eucalyptus sp","arbol","exotica","baja","varios","nula",56
"157","Eugenia myrtifolia","arbusto","exotica","baja","varios","nula",4
"158","Euonymus fortunei","arbusto","exotica","baja","varios","nula",2
"159","Euonymus japónica""microphyll","arbusto","exotica","baja","varios","nula",1
"160","Euonymus japonicus","arbusto","exotica","baja","varios","nula",78
"161","Euonymus puchelus","arbusto","exotica","baja","varios","nula",8
"162","Euonymus sp","arbusto","exotica","baja","varios","nula",5
"163","Euphorbia cotinifolia","arbusto","exotica","baja","varios","nula",1
"164","Euphorbia milii","arbusto","exotica","baja","varios","nula",15
"165","Euphorbia pulcherrima","arbusto","exotica","baja","varios","nula",3
"166","Euphorbia sp","arbusto","exotica","baja","varios","nula",5
"167","Euryops chrysanthemoides","arbusto","exotica","media","varios","nula",3
"168","Euryops pectinatus","arbusto","exotica","media","varios","nula",1
"169","Feijoa sellowiana","arbol","exotica","baja","varios","nula",1
"170","Festuca glauca","arbusto","exotica","nula","varios","nula",2
"171","Ficus benjamina","arbusto","exotica","baja","avispas","nula",32
"172","Ficus carica","arbol","exotica","baja","avispas","nula",11
"173","Ficus carica","arbusto","exotica","baja","avispas","nula",1
"174","Ficus elastica","arbol","exotica","baja","avispas","nula",2
"175","Ficus elastica","arbusto","exotica","baja","avispas","nula",5
"176","Ficus macrophylla","arbol","exotica","baja","avispas","nula",7
"177","Ficus microcarpa","arbol","exotica","baja","avispas","nula",19
"178","Ficus microcarpa","arbusto","exotica","baja","avispas","nula",19
