id,Parque,Tipologia,Barrio,Distrito,exotica,nativa,pol_alta,pol_media,pol_baja,pol_nula,paj_alta,paj_nula
203,Jardín de las Delicias,Parque o Jardín Histórico,EL PRADO-PARQUE MARIA LUISA,Sur,235,22,6,56,171,24,13,244
204,JARDINES DE CHAPINA,Plaza o Jardín,MUSEO,Casco Antiguo,7,0,0,0,6,1,0,7
205,JARDINES DE CISTER,Arbolado Viario,BELLAVISTA,Bellavista-La Palmera,1,0,0,0,1,0,0,1
206,Jardines de Cristina,,SANTA CRUZ,Casco Antiguo,2,2,0,0,2,2,0,4
207,Jardines de Cristina,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,47,7,0,9,22,23,0,54
208,JARDINES DE LA ALHAMBRA,Arbolado Viario,BELLAVISTA,Bellavista-La Palmera,1,0,0,0,1,0,0,1
209,Jardines de La Caridad,,ARENAL,Casco Antiguo,9,0,0,0,7,2,0,9
210,Jardines de La Caridad,Parque o Jardín Histórico,ARENAL,Casco Antiguo,67,4,0,32,27,12,4,67
211,Jardines de la Lonja,Parque o Jardín Histórico,SANTA CRUZ,Casco Antiguo,34,1,0,17,18,0,1,34
212,Jardines de la Madrina,Parque o Jardín Histórico,SANTA CRUZ,Casco Antiguo,50,4,0,8,31,15,1,53
213,Jardines de Murillo,,SANTA CRUZ,Casco Antiguo,9,0,0,4,4,1,0,9
214,Jardines de Murillo,Parque o Jardín Histórico,SANTA CRUZ,Casco Antiguo,444,150,6,308,210,70,48,546
215,JARDINES DEL GUADALQUIVIR,Parque Periurbano,TRIANA OESTE,Triana,173,33,12,79,102,13,57,149
216,Jardines Glorieta Goya,Parque o Jardín Histórico,EL PRADO-PARQUE MARIA LUISA,Sur,31,10,2,10,26,3,9,32
217,JARDINES PLAZA ENTREPARQUES,Plaza o Jardín,BARRIADA PINO MONTANO,Norte,55,0,0,0,55,0,0,55
218,Jardines Plaza San Nicola¡s,,SAN MARIA DE ORDAS-SAN NICOLAS,Macarena,36,0,0,16,20,0,1,35
219,JEREZ,Arbolado Viario,BELLAVISTA,Bellavista-La Palmera,13,0,0,3,0,10,0,13
220,JEREZ,Arbolado Viario,EL CANO-BERMEJALES,Bellavista-La Palmera,0,6,0,6,0,0,6,0
221,Joaquín Romero Murube - Alianza,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,21,0,0,21,0,0,0,21
222,JOSE HERNANDEZ GAN,Plaza o Jardín,SAN PABLO D Y E,San Pablo-Santa Justa,1,0,0,0,1,0,0,1
223,"José Jesús García Díaz, Calle",Arbolado Viario,PALACIO DE CONGRESOS-URBADIEZ- ENTREPUENTES,Este-Alcosa-Torreblanca,1,16,1,0,16,0,0,17
224,"JOSÉ LUIS VILA, JARDINES PLAZA",Plaza o Jardín,FERIA,Casco Antiguo,53,10,3,8,51,1,0,63
225,"JOSE MARIA DE LOS SANTOS,PARQUE",Parque Urbano,CONSOLACION,Norte,17,6,0,15,3,5,1,22
226,JOSE VAL DEL OMAR,Plaza o Jardín,SAN PABLO D Y E,San Pablo-Santa Justa,2,0,0,0,2,0,0,2
227,"JOSEFA REINA PUERTO, JARDINES PLAZA",Plaza o Jardín,ALFALFA,Casco Antiguo,20,0,0,20,0,0,0,20
228,JUAN CARVALLO,Arbolado Viario,ROCHELAMBERT,Cerro-Amate,1,1,1,1,0,0,0,2
229,JUAN DE LA COSA,Arbolado Viario,TIRO DE LINEA-SANTA GENOVEVA,Sur,0,1,0,0,1,0,0,1
230,JUAN DE ZALDIVAR,Plaza o Jardín,SANTA CLARA,San Pablo-Santa Justa,0,7,0,0,7,0,0,7
231,"JUAN GARCÍA REYES, JARDINES PLAZA",Plaza o Jardín,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,4,6,0,0,10,0,0,10
232,JUAN SEBASTIAN ELCANO,Arbolado Viario,LOS REMEDIOS,Los Remedios,6,0,0,0,6,0,0,6
233,KANSAS CITY,Arbolado Viario,LAS HUERTAS,San Pablo-Santa Justa,0,1,0,0,1,0,0,1
234,KANSAS CITY,Arbolado Viario,SAN PABLO A Y B,San Pablo-Santa Justa,6,11,0,4,13,0,0,17
235,LEONARDO DE FIGUEROA,Arbolado Viario,NERVION,Nervión,1,0,0,1,0,0,0,1
236,LICENCIADO CALDERA,Arbolado Viario,LA CORZA,San Pablo-Santa Justa,1,0,0,0,1,0,0,1
