id,Parque,Tipologia,Barrio,Distrito,exotica,nativa,pol_alta,pol_media,pol_baja,pol_nula,paj_alta,paj_nula
71,"Ciudad de Manises, Calle",Arbolado Viario,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,4,0,0,0,4,0,0,4
72,CIUDAD DE MONTILLA,Sin Recepcionar,SAN CARLOS-TARTESSOS,San Pablo-Santa Justa,1,0,0,0,1,0,0,1
73,"Ciudad de Paterna, Calle",Arbolado Viario,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,4,0,0,2,2,0,0,4
74,CL AMERICO VESPUCIO,Arbolado Viario,TRIANA OESTE,Triana,15,1,1,6,9,0,0,16
75,CL BEGONIA,,PIO XII,Macarena,0,2,0,0,2,0,0,2
76,CL BEGONIA,Plaza o Jardín,PIO XII,Macarena,2,0,0,1,1,0,0,2
77,CL GONZALO JIMENEZ DE QUESADA,Medianas y Glorietas,TRIANA OESTE,Triana,11,0,0,11,0,0,0,11
78,CL GUSTAVO BACARISAS,Arbolado Viario,TRIANA CASCO ANTIGUO,Triana,2,0,0,0,2,0,0,2
79,CL IGNACIO GOMEZ MILLAN,Plaza o Jardín,TRIANA OESTE,Triana,6,0,0,0,6,0,0,6
80,CL INCA GARCILASO,Medianas y Glorietas,TRIANA OESTE,Triana,2,22,13,0,9,2,1,23
81,CL MUÑOZ LEON,Arbolado Viario,SAN GIL,Casco Antiguo,0,2,0,1,1,0,1,1
82,CL OCIO,Arbolado Viario,TRIANA OESTE,Triana,0,5,0,5,0,0,0,5
83,CL PERIODISTA NICOLAS SALAS,,TRIANA CASCO ANTIGUO,Triana,1,0,0,0,1,0,0,1
84,CL PLAZA NUEVA,Plaza o Jardín,ALFALFA,Casco Antiguo,12,0,0,12,0,0,0,12
85,CL PLAZA NUEVA,Plaza o Jardín,ARENAL,Casco Antiguo,73,66,0,63,10,66,0,139
86,CL RONDA DE CIRCUNVALACIóN SE-30,Sin Recepcionar,TRIANA OESTE,Triana,11,0,0,4,7,0,0,11
87,"Cojinete, Calle",Arbolado Viario,PALACIO DE CONGRESOS-URBADIEZ- ENTREPUENTES,Este-Alcosa-Torreblanca,6,1,0,0,1,6,0,7
88,"CONCEJAL ALONSO BALOSA GARCIA, ROTONDA",Medianas y Glorietas,BELLAVISTA,Bellavista-La Palmera,15,0,0,0,0,15,0,15
89,Conde de Halcon,Arbolado Viario,PIO XII,Macarena,1,0,0,0,1,0,0,1
90,CORTIJO DE LAS CASILLAS,Arbolado Viario,CONSOLACION,Norte,0,2,0,0,2,0,0,2
91,"CRISANTEMO,CL",Arbolado Viario,PIO XII,Macarena,3,0,0,1,2,0,0,3
92,"CRISTO DE BURGOS, JARDINES PLAZA",Plaza o Jardín,ALFALFA,Casco Antiguo,33,0,0,0,17,16,0,33
93,"CRISTO DE BURGOS, PLAZA",Plaza o Jardín,ALFALFA,Casco Antiguo,8,0,0,0,8,0,0,8
94,CRISTO DE VELAZQUEZ,Plaza o Jardín,SAN PABLO A Y B,San Pablo-Santa Justa,0,1,0,0,1,0,0,1
95,"CROSS SAN JERONIMO, PARQUE",Parque Urbano,LA BACHILLERA,Norte,2,4,2,3,0,1,1,5
96,"CRUCERO BALEARES, JARDÍN PLAZA",Plaza o Jardín,TRIANA OESTE,Triana,3,0,0,0,3,0,0,3
